gear_ID,probability,cost_SSP,cost_EP,stuff1,stuff2,stuff3,stuff4,stuff5
gem_A_6,100,0,0,gem_A_7,gem_A_7,gem_A_7,gem_A_7,gem_A_7
gem_A_5,88,500,0,gem_A_6,gem_A_6,gem_A_6,gem_A_6,gem_A_6
gem_A_4,76,750,40,gem_A_5,gem_A_5,gem_A_5,gem_A_5,gem_A_5
gem_A_3,64,1000,70,gem_A_4,gem_A_4,gem_A_4,gem_A_4,gem_A_4
gem_B_6,100,0,0,gem_B_7,gem_B_7,gem_B_7,gem_B_7,gem_B_7
gem_B_5,88,500,0,gem_B_6,gem_B_6,gem_B_6,gem_B_6,gem_B_6
gem_B_4,76,750,40,gem_B_5,gem_B_5,gem_B_5,gem_B_5,gem_B_5
gem_B_3,64,1000,70,gem_B_4,gem_B_4,gem_B_4,gem_B_4,gem_B_4
gem_C_6,100,0,0,gem_C_7,gem_C_7,gem_C_7,gem_C_7,gem_C_7
gem_C_5,88,500,0,gem_C_6,gem_C_6,gem_C_6,gem_C_6,gem_C_6
gem_C_4,76,750,40,gem_C_5,gem_C_5,gem_C_5,gem_C_5,gem_C_5
gem_C_3,64,1000,70,gem_C_4,gem_C_4,gem_C_4,gem_C_4,gem_C_4
gem_E_6,100,0,0,gem_C_4,gem_E_7,gem_E_7,gem_E_7,gem_E_7
gem_E_5,88,500,0,gem_E_6,gem_E_6,gem_E_6,gem_E_6,gem_E_6
gem_E_4,76,750,40,gem_E_5,gem_E_5,gem_E_5,gem_E_5,gem_E_5
gem_E_3,64,1000,70,gem_E_4,gem_E_4,gem_E_4,gem_E_4,gem_E_4
lg_1_1,40,3000,100,lg_2_8,lg_2_6,parts_2_3,parts_3_4,parts_3_5
lg_1_2,40,3000,100,lg_2_1,lg_2_7,parts_2_3,parts_3_5,parts_3_8
lg_1_3,40,3000,100,lg_2_10,lg_2_5,parts_2_1,parts_3_4,parts_3_9
lg_1_4,40,3000,100,lg_2_7,lg_2_4,parts_2_5,parts_3_8,parts_3_8
lg_1_5,40,3000,100,lg_2_7,lg_2_1,parts_2_2,parts_3_2,parts_3_5
lg_1_6,40,3000,100,lg_2_4,lg_2_7,parts_2_6,parts_3_10,parts_3_6
lg_1_7,40,3000,100,lg_2_4,lg_2_1,parts_2_9,parts_3_4,parts_3_10
lg_1_8,40,3000,100,lg_2_8,lg_2_9,parts_2_10,parts_3_3,parts_3_5
lg_1_9,40,3000,100,lg_2_1,lg_2_3,parts_2_3,parts_3_1,parts_3_8
lg_1_10,40,3000,100,lg_2_4,lg_2_5,parts_2_6,parts_3_3,parts_3_6
lg_2_1,52,1500,70,lg_3_5,parts_3_2,parts_4_2,parts_5_12,parts_5_10
lg_2_2,52,1500,70,lg_3_2,parts_3_1,parts_4_8,parts_5_8,parts_5_10
lg_2_3,52,1500,70,lg_3_2,parts_3_9,parts_4_18,parts_5_12,parts_5_2
lg_2_4,52,1500,70,lg_3_8,parts_3_2,parts_4_20,parts_5_7,parts_5_15
lg_2_5,52,1500,70,lg_3_6,parts_3_1,parts_4_6,parts_5_10,parts_5_6
lg_2_6,52,1500,70,lg_3_4,parts_3_9,parts_4_19,parts_5_1,parts_5_15
lg_2_7,52,1500,70,lg_3_8,parts_3_1,parts_4_16,parts_5_10,parts_5_10
lg_2_8,52,1500,70,lg_3_6,parts_3_6,parts_4_12,parts_5_8,parts_5_7
lg_2_9,52,1500,70,lg_3_4,parts_3_6,parts_4_8,parts_5_5,parts_5_4
lg_2_10,52,1500,70,lg_3_2,parts_3_5,parts_4_7,parts_5_3,parts_5_9
lg_3_1,64,1000,70,lg_4_3,parts_4_4,parts_5_17,parts_6_2,parts_7_3
lg_3_2,64,1000,70,lg_4_9,parts_4_10,parts_5_10,parts_6_13,parts_7_8
lg_3_3,64,1000,70,lg_4_3,parts_4_3,parts_5_15,parts_6_13,parts_7_3
lg_3_4,64,1000,70,lg_4_20,parts_4_5,parts_5_17,parts_6_8,parts_7_13
lg_3_5,64,1000,70,lg_4_6,parts_4_20,parts_5_9,parts_6_3,parts_7_6
lg_3_6,64,1000,70,lg_4_9,parts_4_18,parts_5_15,parts_6_9,parts_7_13
lg_3_7,64,1000,70,lg_4_1,parts_4_12,parts_5_3,parts_6_5,parts_7_13
lg_3_8,64,1000,70,lg_4_8,parts_4_5,parts_5_10,parts_6_11,parts_7_5
lg_3_9,64,1000,70,lg_4_7,parts_4_15,parts_5_14,parts_6_5,parts_7_10
lg_3_10,64,1000,70,lg_4_6,parts_4_3,parts_5_19,parts_6_1,parts_7_6
lg_4_1,76,750,40,lg_5_9,parts_5_14,parts_6_7,parts_7_4,parts_7_1
lg_4_2,76,750,40,lg_5_6,parts_5_14,parts_6_1,parts_7_13,parts_7_6
lg_4_3,76,750,40,lg_5_8,parts_5_13,parts_6_13,parts_7_15,parts_7_13
lg_4_4,76,750,40,lg_5_18,parts_5_2,parts_6_10,parts_7_11,parts_7_5
lg_4_5,76,750,40,lg_5_6,parts_5_18,parts_6_8,parts_7_3,parts_7_15
lg_4_6,76,750,40,lg_5_20,parts_5_20,parts_6_14,parts_7_7,parts_7_14
lg_4_7,76,750,40,lg_5_16,parts_5_1,parts_6_9,parts_7_11,parts_7_9
lg_4_8,76,750,40,lg_5_20,parts_5_12,parts_6_1,parts_7_12,parts_7_2
lg_4_9,76,750,40,lg_5_9,parts_5_14,parts_6_15,parts_7_10,parts_7_11
lg_4_10,76,750,40,lg_5_5,parts_5_2,parts_6_14,parts_7_1,parts_7_7
lg_4_11,76,750,40,lg_5_17,parts_5_6,parts_6_6,parts_7_3,parts_7_5
lg_4_12,76,750,40,lg_5_5,parts_5_1,parts_6_2,parts_7_2,parts_7_3
lg_4_13,76,750,40,lg_5_12,parts_5_8,parts_6_3,parts_7_5,parts_7_7
lg_4_14,76,750,40,lg_5_9,parts_5_2,parts_6_11,parts_7_3,parts_7_13
lg_4_15,76,750,40,lg_5_12,parts_5_1,parts_6_8,parts_7_7,parts_7_7
lg_4_16,76,750,40,lg_5_17,parts_5_1,parts_6_13,parts_7_1,parts_7_13
lg_4_17,76,750,40,lg_5_3,parts_5_17,parts_6_7,parts_7_9,parts_7_15
lg_4_18,76,750,40,lg_5_16,parts_5_8,parts_6_3,parts_7_4,parts_7_13
lg_4_19,76,750,40,lg_5_18,parts_5_4,parts_6_7,parts_7_7,parts_7_7
lg_4_20,76,750,40,lg_5_19,parts_5_1,parts_6_1,parts_7_12,parts_7_13
lg_5_1,88,500,0,parts_6_10,parts_6_15,parts_6_12,parts_7_9,parts_7_4
lg_5_2,88,500,0,parts_6_13,parts_6_12,parts_6_1,parts_7_7,parts_7_11
lg_5_3,88,500,0,parts_6_14,parts_6_9,parts_6_9,parts_7_9,parts_7_11
lg_5_4,88,500,0,parts_6_6,parts_6_12,parts_6_15,parts_7_2,parts_7_9
lg_5_5,88,500,0,parts_6_6,parts_6_7,parts_6_8,parts_7_2,parts_7_8
lg_5_6,88,500,0,parts_6_7,parts_6_7,parts_6_12,parts_7_15,parts_7_1
lg_5_7,88,500,0,parts_6_12,parts_6_15,parts_6_2,parts_7_8,parts_7_2
lg_5_8,88,500,0,parts_6_10,parts_6_14,parts_6_8,parts_7_2,parts_7_13
lg_5_9,88,500,0,parts_6_13,parts_6_7,parts_6_4,parts_7_6,parts_7_8
lg_5_10,88,500,0,parts_6_9,parts_6_15,parts_6_11,parts_7_3,parts_7_6
lg_5_11,88,500,0,parts_6_10,parts_6_9,parts_6_12,parts_7_12,parts_7_6
lg_5_12,88,500,0,parts_6_4,parts_6_10,parts_6_15,parts_7_6,parts_7_9
lg_5_13,88,500,0,parts_6_3,parts_6_12,parts_6_4,parts_7_7,parts_7_12
lg_5_14,88,500,0,parts_6_1,parts_6_6,parts_6_14,parts_7_6,parts_7_8
lg_5_15,88,500,0,parts_6_1,parts_6_9,parts_6_2,parts_7_7,parts_7_11
lg_5_16,88,500,0,parts_6_7,parts_6_1,parts_6_2,parts_7_14,parts_7_2
lg_5_17,88,500,0,parts_6_7,parts_6_3,parts_6_12,parts_7_11,parts_7_11
lg_5_18,88,500,0,parts_6_6,parts_6_1,parts_6_5,parts_7_13,parts_7_5
lg_5_19,88,500,0,parts_6_7,parts_6_12,parts_6_6,parts_7_10,parts_7_6
lg_5_20,88,500,0,parts_6_8,parts_6_9,parts_6_5,parts_7_14,parts_7_10
lg_6_1,100,0,0,parts_6_13,parts_6_5,parts_7_9,parts_7_10,
lg_6_2,100,0,0,parts_6_1,parts_6_8,parts_7_15,parts_7_14,
lg_6_3,100,0,0,parts_6_4,parts_6_13,parts_7_6,parts_7_1,
lg_6_4,100,0,0,parts_6_13,parts_6_5,parts_7_5,parts_7_14,
lg_6_5,100,0,0,parts_6_3,parts_6_3,parts_7_13,parts_7_3,
lg_6_6,100,0,0,parts_6_4,parts_6_6,parts_7_14,parts_7_6,
lg_6_7,100,0,0,parts_6_14,parts_6_2,parts_7_15,parts_7_7,
lg_6_8,100,0,0,parts_6_4,parts_6_8,parts_7_15,parts_7_1,
lg_6_9,100,0,0,parts_6_9,parts_6_11,parts_7_13,parts_7_6,
lg_6_10,100,0,0,parts_6_15,parts_6_7,parts_7_10,parts_7_14,
lg_7_1,100,0,0,parts_7_7,parts_7_3,parts_7_3,,
lg_7_2,100,0,0,parts_7_12,parts_7_3,parts_7_1,,
lg_7_3,100,0,0,parts_7_8,parts_7_4,parts_7_9,,
lg_7_4,100,0,0,parts_7_12,parts_7_15,parts_7_1,,
lg_7_5,100,0,0,parts_7_13,parts_7_9,parts_7_6,,
lg_7_6,100,0,0,parts_7_13,parts_7_15,parts_7_5,,
lg_7_7,100,0,0,parts_7_10,parts_7_2,parts_7_3,,
lg_7_8,100,0,0,parts_7_13,parts_7_2,parts_7_6,,
lg_7_9,100,0,0,parts_7_1,parts_7_9,parts_7_7,,
lg_7_10,100,0,0,parts_7_10,parts_7_3,parts_7_1,,
acce_1_1,40,3000,100,acce_2_1,acce_2_10,parts_2_5,parts_3_5,parts_3_7
acce_1_2,40,3000,100,acce_2_7,acce_2_2,parts_2_9,parts_3_7,parts_3_3
acce_1_3,40,3000,100,acce_2_3,acce_2_7,parts_2_8,parts_3_7,parts_3_9
acce_1_4,40,3000,100,acce_2_9,acce_2_3,parts_2_4,parts_3_4,parts_3_6
acce_1_5,40,3000,100,acce_2_8,acce_2_6,parts_2_9,parts_3_8,parts_3_7
acce_1_6,40,3000,100,acce_2_6,acce_2_2,parts_2_8,parts_3_10,parts_3_3
acce_1_7,40,3000,100,acce_2_4,acce_2_2,parts_2_10,parts_3_7,parts_3_8
acce_1_8,40,3000,100,acce_2_2,acce_2_7,parts_2_1,parts_3_2,parts_3_9
acce_1_9,40,3000,100,acce_2_1,acce_2_3,parts_2_4,parts_3_7,parts_3_4
acce_1_10,40,3000,100,acce_2_7,acce_2_3,parts_2_5,parts_3_6,parts_3_8
acce_2_1,52,1500,70,acce_3_2,parts_3_3,parts_4_17,parts_5_14,parts_5_10
acce_2_2,52,1500,70,acce_3_9,parts_3_6,parts_4_19,parts_5_6,parts_5_9
acce_2_3,52,1500,70,acce_3_4,parts_3_4,parts_4_18,parts_5_6,parts_5_7
acce_2_4,52,1500,70,acce_3_7,parts_3_10,parts_4_15,parts_5_7,parts_5_1
acce_2_5,52,1500,70,acce_3_1,parts_3_6,parts_4_1,parts_5_6,parts_5_10
acce_2_6,52,1500,70,acce_3_5,parts_3_8,parts_4_13,parts_5_14,parts_5_13
acce_2_7,52,1500,70,acce_3_9,parts_3_8,parts_4_6,parts_5_11,parts_5_2
acce_2_8,52,1500,70,acce_3_6,parts_3_9,parts_4_9,parts_5_1,parts_5_2
acce_2_9,52,1500,70,acce_3_1,parts_3_9,parts_4_14,parts_5_11,parts_5_2
acce_2_10,52,1500,70,acce_3_3,parts_3_8,parts_4_17,parts_5_6,parts_5_1
acce_3_1,64,1000,70,acce_4_4,parts_4_11,parts_5_6,parts_6_7,parts_7_8
acce_3_2,64,1000,70,acce_4_9,parts_4_2,parts_5_5,parts_6_15,parts_7_11
acce_3_3,64,1000,70,acce_4_12,parts_4_9,parts_5_6,parts_6_13,parts_7_10
acce_3_4,64,1000,70,acce_4_15,parts_4_1,parts_5_17,parts_6_15,parts_7_9
acce_3_5,64,1000,70,acce_4_12,parts_4_9,parts_5_1,parts_6_9,parts_7_10
acce_3_6,64,1000,70,acce_4_1,parts_4_16,parts_5_9,parts_6_12,parts_7_3
acce_3_7,64,1000,70,acce_4_14,parts_4_10,parts_5_3,parts_6_12,parts_7_10
acce_3_8,64,1000,70,acce_4_1,parts_4_7,parts_5_12,parts_6_14,parts_7_7
acce_3_9,64,1000,70,acce_4_8,parts_4_15,parts_5_20,parts_6_4,parts_7_12
acce_3_10,64,1000,70,acce_4_9,parts_4_12,parts_5_14,parts_6_2,parts_7_3
acce_4_1,76,750,40,acce_5_5,parts_5_16,parts_6_10,parts_7_14,parts_7_7
acce_4_2,76,750,40,acce_5_5,parts_5_3,parts_6_4,parts_7_9,parts_7_11
acce_4_3,76,750,40,acce_5_5,parts_5_19,parts_6_5,parts_7_10,parts_7_2
acce_4_4,76,750,40,acce_5_12,parts_5_19,parts_6_15,parts_7_8,parts_7_6
acce_4_5,76,750,40,acce_5_20,parts_5_6,parts_6_2,parts_7_6,parts_7_1
acce_4_6,76,750,40,acce_5_2,parts_5_1,parts_6_9,parts_7_7,parts_7_15
acce_4_7,76,750,40,acce_5_6,parts_5_9,parts_6_4,parts_7_10,parts_7_4
acce_4_8,76,750,40,acce_5_15,parts_5_4,parts_6_10,parts_7_14,parts_7_13
acce_4_9,76,750,40,acce_5_14,parts_5_3,parts_6_12,parts_7_12,parts_7_14
acce_4_10,76,750,40,acce_5_15,parts_5_2,parts_6_14,parts_7_1,parts_7_12
acce_4_11,76,750,40,acce_5_9,parts_5_3,parts_6_6,parts_7_9,parts_7_2
acce_4_12,76,750,40,acce_5_16,parts_5_20,parts_6_12,parts_7_3,parts_7_12
acce_4_13,76,750,40,acce_5_9,parts_5_9,parts_6_8,parts_7_2,parts_7_9
acce_4_14,76,750,40,acce_5_8,parts_5_5,parts_6_2,parts_7_10,parts_7_4
acce_4_15,76,750,40,acce_5_2,parts_5_13,parts_6_5,parts_7_2,parts_7_6
acce_4_16,76,750,40,acce_5_16,parts_5_13,parts_6_9,parts_7_14,parts_7_7
acce_4_17,76,750,40,acce_5_4,parts_5_6,parts_6_12,parts_7_5,parts_7_3
acce_4_18,76,750,40,acce_5_1,parts_5_12,parts_6_4,parts_7_8,parts_7_6
acce_4_19,76,750,40,acce_5_15,parts_5_19,parts_6_2,parts_7_13,parts_7_9
acce_4_20,76,750,40,acce_5_14,parts_5_8,parts_6_5,parts_7_2,parts_7_14
acce_5_1,88,500,0,parts_6_5,parts_6_8,parts_6_13,parts_7_11,parts_7_11
acce_5_2,88,500,0,parts_6_15,parts_6_4,parts_6_13,parts_7_9,parts_7_9
acce_5_3,88,500,0,parts_6_12,parts_6_1,parts_6_14,parts_7_11,parts_7_5
acce_5_4,88,500,0,parts_6_9,parts_6_15,parts_6_4,parts_7_2,parts_7_3
acce_5_5,88,500,0,parts_6_9,parts_6_10,parts_6_3,parts_7_15,parts_7_6
acce_5_6,88,500,0,parts_6_5,parts_6_10,parts_6_12,parts_7_15,parts_7_1
acce_5_7,88,500,0,parts_6_1,parts_6_2,parts_6_4,parts_7_8,parts_7_12
acce_5_8,88,500,0,parts_6_5,parts_6_6,parts_6_12,parts_7_10,parts_7_9
acce_5_9,88,500,0,parts_6_12,parts_6_1,parts_6_6,parts_7_15,parts_7_9
acce_5_10,88,500,0,parts_6_9,parts_6_6,parts_6_12,parts_7_6,parts_7_13
acce_5_11,88,500,0,parts_6_10,parts_6_8,parts_6_7,parts_7_2,parts_7_2
acce_5_12,88,500,0,parts_6_5,parts_6_15,parts_6_10,parts_7_15,parts_7_15
acce_5_13,88,500,0,parts_6_7,parts_6_10,parts_6_3,parts_7_9,parts_7_11
