gear_ID,cost_SSP,cost_EP,result_min,result_max,result1,result2,result3,result4,result5,result6,result7,result8
lg_1_1,2000,100,3,5,parts_2_8,parts_2_4,parts_2_10,parts_2_7,parts_2_5,parts_2_2,parts_2_3,parts_2_5
lg_1_2,2000,100,3,5,parts_2_9,parts_2_1,parts_2_9,parts_2_8,parts_2_2,parts_2_4,parts_2_10,parts_2_7
lg_1_3,2000,100,3,5,parts_2_10,parts_2_3,parts_2_9,parts_2_7,parts_2_3,parts_2_6,parts_2_10,parts_2_2
lg_1_4,2000,100,3,5,parts_2_3,parts_2_9,parts_2_1,parts_2_3,parts_2_4,parts_2_9,parts_2_10,parts_2_1
lg_1_5,2000,100,3,5,parts_2_6,parts_2_4,parts_2_1,parts_2_2,parts_2_5,parts_2_8,parts_2_4,parts_2_3
lg_1_6,2000,100,3,5,parts_2_1,parts_2_5,parts_2_4,parts_2_10,parts_2_8,parts_2_5,parts_2_2,parts_2_1
lg_1_7,2000,100,3,5,parts_2_4,parts_2_1,parts_2_7,parts_2_10,parts_2_3,parts_2_4,parts_2_6,parts_2_1
lg_1_8,2000,100,3,5,parts_2_8,parts_2_10,parts_2_2,parts_2_10,parts_2_3,parts_2_7,parts_2_3,parts_2_4
lg_1_9,2000,100,3,5,parts_2_10,parts_2_7,parts_2_6,parts_2_5,parts_2_8,parts_2_6,parts_2_2,parts_2_10
lg_1_10,2000,100,3,5,parts_2_1,parts_2_7,parts_2_3,parts_2_3,parts_2_2,parts_2_4,parts_2_8,parts_2_10
lg_2_1,1000,50,3,5,parts_2_3,parts_2_2,parts_3_10,parts_3_10,parts_2_6,parts_2_10,parts_2_9,parts_3_5
lg_2_2,1000,50,3,5,parts_2_10,parts_2_10,parts_3_8,parts_2_1,parts_2_5,parts_2_4,parts_2_4,parts_2_10
lg_2_3,1000,50,3,5,parts_2_10,parts_2_3,parts_2_4,parts_3_1,parts_2_2,parts_2_6,parts_3_10,parts_3_6
lg_2_4,1000,50,3,5,parts_3_5,parts_2_1,parts_2_8,parts_3_1,parts_3_4,parts_3_4,parts_3_9,parts_2_1
lg_2_5,1000,50,3,5,parts_3_10,parts_2_1,parts_3_1,parts_3_2,parts_2_3,parts_3_9,parts_2_6,parts_2_4
