gear_ID,category,name,icon,tier,socket_min,socket_max,staminaMax,staminaUse,listeningSSP,listeningEP,getEXP,getSSP_24hRate,getSSP_24hAmount,luck_addrate,getEP_24hRate,getSSP_Play,getSSP_PlayDelay,getSSP_PlayAmount
gem_A_7,Gem,5등급 다아이몬드,gem_A_7,7,,,,,,,,,,,,,,
gem_A_6,Gem,4등급 다이아몬드,gem_A_6,6,,,,,,,,,,,,,,
gem_A_5,Gem,3등급 다이아몬드,gem_A_5,5,,,,,,,,,,,,,,
gem_A_4,Gem,2등급 다이아몬드,gem_A_4,4,,,,,,,,,,,,,,
gem_A_3,Gem,1등급 다이아몬드,gem_A_3,3,,,,,,,,,,,,,,
gem_B_7,Gem,5등급 에메랄드,gem_B_7,7,,,,,,,,,,,,,,
gem_B_6,Gem,4등급 에메랄드,gem_B_6,6,,,,,,,,,,,,,,
gem_B_5,Gem,3등급 에메랄드,gem_B_5,5,,,,,,,,,,,,,,
gem_B_4,Gem,2등급 에메랄드,gem_B_4,4,,,,,,,,,,,,,,
gem_B_3,Gem,1등급 에메랄드,gem_B_3,3,,,,,,,,,,,,,,
gem_C_7,Gem,5등급 루비,gem_C_7,7,,,,,,,,,,,,,,
gem_C_6,Gem,4등급 루비,gem_C_6,6,,,,,,,,,,,,,,
gem_C_5,Gem,3등급 루비,gem_C_5,5,,,,,,,,,,,,,,
gem_C_4,Gem,2등급 루비,gem_C_4,4,,,,,,,,,,,,,,
gem_C_3,Gem,1등급 루비,gem_C_3,3,,,,,,,,,,,,,,
gem_E_7,Gem,5등급 사파이어,gem_E_7,7,,,,,,,,,,,,,,
gem_E_6,Gem,4등급 사파이어,gem_E_6,6,,,,,,,,,,,,,,
gem_E_5,Gem,3등급 사파이어,gem_E_5,5,,,,,,,,,,,,,,
gem_E_4,Gem,2등급 사파이어,gem_E_4,4,,,,,,,,,,,,,,
gem_E_3,Gem,1등급 사파이어,gem_E_3,3,,,,,,,,,,,,,,
parts_2_1,Parts,음성 코일,parts_2_1,2,,,,,,,,,,,,,,
parts_2_2,Parts,진동 다이어프램,parts_2_2,2,,,,,,,,,,,,,,
parts_2_3,Parts,마그넷,parts_2_3,2,,,,,,,,,,,,,,
parts_2_4,Parts,서라운드 소리 재생기,parts_2_4,2,,,,,,,,,,,,,,
parts_2_5,Parts,스피커 그릴,parts_2_5,2,,,,,,,,,,,,,,
parts_2_6,Parts,크로스오버 회로,parts_2_6,2,,,,,,,,,,,,,,
parts_2_7,Parts,트위터 드라이버,parts_2_7,2,,,,,,,,,,,,,,
parts_2_8,Parts,우퍼 패드,parts_2_8,2,,,,,,,,,,,,,,
parts_2_9,Parts,파이크 스피커,parts_2_9,2,,,,,,,,,,,,,,
parts_2_10,Parts,보컬 코일,parts_2_10,2,,,,,,,,,,,,,,
parts_3_1,Parts,앰프 IC,parts_3_1,3,,,,,,,,,,,,,,
parts_3_2,Parts,저음 다이어프램,parts_3_2,3,,,,,,,,,,,,,,
parts_3_3,Parts,피치 컨트롤러,parts_3_3,3,,,,,,,,,,,,,,
parts_3_4,Parts,음질 캡슐,parts_3_4,3,,,,,,,,,,,,,,
parts_3_5,Parts,케이블 갑피,parts_3_5,3,,,,,,,,,,,,,,
parts_3_6,Parts,보호용 서라운드,parts_3_6,3,,,,,,,,,,,,,,
parts_3_7,Parts,플레이트 압연 코일,parts_3_7,3,,,,,,,,,,,,,,
parts_3_8,Parts,블록 다이어프램,parts_3_8,3,,,,,,,,,,,,,,
parts_3_9,Parts,앰프 변압기,parts_3_9,3,,,,,,,,,,,,,,
parts_3_10,Parts,신호 처리 장치,parts_3_10,3,,,,,,,,,,,,,,
parts_4_1,Parts,리시버 모듈,parts_4_1,4,,,,,,,,,,,,,,
parts_4_2,Parts,마이크로폰 캡슐,parts_4_2,4,,,,,,,,,,,,,,
parts_4_3,Parts,브래킷,parts_4_3,4,,,,,,,,,,,,,,
parts_4_4,Parts,부스트 라인,parts_4_4,4,,,,,,,,,,,,,,
