level,exp,stamina,Cost_SSP,Cost_EP,Reward_SSP,Reward_EP,Reward_Gear,Reward_Count,Limit_SSP,Limit_EP,Limit_Probability,Condition1,Condition2
1,0,10000,0,0,0,0,,0,0,0,0,0,0
2,11180,10100,0,0,100,0,,0,0,0,0,0,0
3,63246,10200,0,0,200,0,lg_7_10,0,0,0,0,0,0
4,174284,10300,0,0,300,0,,radio_7_10,0,0,0,0,0
5,357771,10400,500,0,400,500,,0,0,0,0,0,0
6,625000,10500,500,0,500,0,,1,0,0,0,0,0
7,985901,10600,500,0,500,0,,0,0,0,0,0,0
8,1449440,10700,500,0,500,0,,0,0,0,0,0,0
9,2023858,10800,500,0,500,0,,0,0,0,0,0,0
10,2716823,10900,1000,0,0,0,,0,0,0,0,0,0
11,3535534,11000,1000,0,0,0,,0,0,0,0,0,0
12,4486800,11100,1000,0,1500,0,,0,0,0,0,0,0
13,5577096,11200,1000,0,0,0,,0,0,0,0,0,0
14,6812608,11300,1000,0,0,250,,0,0,0,0,0,0
15,8199268,11400,1500,0,0,0,,0,5000,0,80,72,0
16,9742786,11500,1500,0,0,0,,0,0,0,0,0,0
17,11448668,11600,1500,0,0,0,,0,0,0,0,0,0
18,13322242,11700,1500,0,0,0,,1,0,0,0,0,0
19,15368669,11800,1500,0,0,0,,0,0,0,0,0,0
20,17592964,11900,2000,500,0,0,,0,5000,0,70,120,0
21,20000000,12000,2000,0,0,0,,0,0,0,0,0,0
22,22594526,12100,2000,0,3000,0,,0,0,0,0,0,0
23,25381174,12200,2000,0,0,0,,0,0,0,0,0,0
24,28364465,12300,2000,0,0,500,,0,0,0,0,0,0
25,31548819,12400,2500,500,0,0,,0,5000,1000,60,195,0
26,34938562,12500,2500,0,0,0,,0,0,0,0,0,0
27,38537929,12600,2500,0,0,0,,0,0,0,0,0,0
28,42351073,12700,2500,0,0,0,,0,0,0,0,0,0
29,46382065,12800,2500,0,0,0,,0,0,0,0,0,0
30,50634905,12900,3000,1000,0,0,,1,5000,0,60,270,0
31,55113519,13000,3000,0,0,0,,0,0,0,0,0,0
32,59821768,13100,3000,0,4500,0,,0,0,0,0,0,0
33,64763446,13200,3000,0,0,0,,0,0,0,0,0,0
34,69942291,13300,3000,0,0,750,,0,0,0,0,0,0
35,75361980,13400,3500,1000,0,0,,0,5000,1000,50,378,0
